person_id,personality_type,total_behaviors,mean_incongruence,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6,behavior_7
0,balanced,9,3.5117461252540787,0,1,1,2,1,1,1,2
1,balanced,10,3.638349522862681,0,0,1,3,1,0,1,4
2,balanced,10,3.4503415766392207,0,0,1,4,0,0,1,4
3,balanced,10,3.366435354077495,0,1,1,2,1,1,1,3
4,balanced,8,3.5880326424882774,0,0,0,0,4,0,0,4
5,balanced,9,3.4632129105937013,0,0,1,3,0,2,0,3
6,balanced,10,3.4408545376285105,0,1,2,1,1,2,0,3
7,balanced,10,3.3428874514962237,1,0,0,2,3,0,0,4
8,balanced,9,3.525188153877639,0,1,0,0,3,1,1,3
9,balanced,9,3.3639492774535538,0,0,0,1,3,0,0,5
10,balanced,10,3.5548006349159524,0,1,1,2,1,1,1,3
11,balanced,10,3.5353522365069665,0,0,0,3,2,0,0,5
12,balanced,10,3.5043700348806346,0,0,1,3,1,1,1,3
13,balanced,10,3.4341589301771074,1,0,1,2,2,1,0,3
14,balanced,10,3.4103258368682643,0,0,2,2,1,0,2,3
15,balanced,11,3.5631382483361156,0,0,2,3,1,1,0,4
16,balanced,11,3.4761953708606375,1,0,1,3,2,1,0,3
17,balanced,10,3.4621166273937614,2,0,1,1,2,2,0,2
18,balanced,9,3.4994022029007135,0,0,1,3,1,1,0,3
19,balanced,9,3.527454120332422,0,0,2,0,3,1,0,3
20,borderline,9,4.1508322008382965,0,0,1,2,1,1,1,3
21,borderline,6,3.9916026386532666,0,0,0,2,1,0,2,1
22,borderline,7,3.937003044182289,0,0,0,2,1,0,2,2
23,borderline,7,3.908855218191518,0,0,0,2,1,0,2,2
24,borderline,5,3.5869213696588353,0,0,0,1,1,0,2,1
25,borderline,6,4.14620975891098,0,0,0,1,2,0,1,2
26,borderline,7,3.969930115776072,0,0,0,2,1,0,2,2
27,borderline,6,3.937466436217584,0,0,0,2,1,0,1,2
28,borderline,6,4.115770912093666,0,0,0,1,2,0,1,2
29,borderline,5,4.086955073652656,0,0,0,1,1,0,2,1
30,borderline,7,4.282947770332879,0,0,0,2,1,0,2,2
31,borderline,8,3.893259857480093,0,0,0,3,1,0,2,2
32,borderline,1,4.243581059828362,0,0,0,0,0,0,1,0
33,borderline,8,4.310077267223019,0,0,0,2,2,0,1,3
34,borderline,8,3.989581464736573,0,0,0,3,1,0,1,3
35,borderline,1,4.541480636429711,0,0,0,0,0,0,1,0
36,borderline,9,4.065721255165252,0,0,0,3,1,0,1,4
37,borderline,7,3.8738481340258377,0,0,0,2,1,0,2,2
38,borderline,5,4.096157269557525,0,0,0,1,1,0,2,1
39,borderline,7,4.096758043410507,0,0,0,2,1,0,2,2
40,narcissistic,10,4.793369869921399,0,0,0,2,2,1,2,3
41,narcissistic,10,4.384195681163314,0,1,1,1,2,1,1,3
42,narcissistic,9,4.530749140783477,0,1,0,1,2,1,1,3
43,narcissistic,8,4.890234857898106,0,1,0,1,1,2,1,2
44,narcissistic,9,4.6997056415986,0,0,0,2,2,1,1,3
45,narcissistic,9,4.66449084332815,1,0,0,1,2,1,1,3
46,narcissistic,9,4.6481706065516954,0,0,0,2,2,1,1,3
47,narcissistic,10,4.904305874135343,0,1,0,1,2,2,1,3
48,narcissistic,9,4.859305542454354,0,0,0,2,2,1,1,3
49,narcissistic,9,4.648518216071383,0,0,1,1,1,2,1,3
50,narcissistic,10,4.545024822107974,1,0,0,1,3,1,1,3
51,narcissistic,9,4.7050205316252836,0,0,0,2,2,1,1,3
52,narcissistic,9,4.747013176862956,0,0,0,2,2,1,1,3
53,narcissistic,9,4.398628815863755,0,1,0,1,2,1,1,3
54,narcissistic,9,4.661981516126831,1,0,0,1,2,1,2,2
55,narcissistic,10,4.695197633761516,1,0,0,1,3,1,1,3
56,narcissistic,10,4.387690445290256,1,0,0,2,2,1,2,2
57,narcissistic,9,4.652919016996384,0,0,0,2,2,1,1,3
58,narcissistic,9,4.568534331840239,1,0,0,1,2,1,1,3
59,narcissistic,8,4.943433306884016,0,1,0,1,1,2,1,2
60,avoidant,8,3.4496749284775565,0,0,1,3,0,1,0,3
61,avoidant,10,3.5983520015151482,0,0,1,4,0,1,0,4
62,avoidant,9,3.6424911263907247,0,0,1,3,0,1,0,4
63,avoidant,8,3.488253723568533,0,0,1,3,0,1,0,3
64,avoidant,9,3.5825742403694165,0,0,1,3,0,1,0,4
65,avoidant,9,3.43291523976886,0,0,1,3,0,1,0,4
66,avoidant,9,3.6238077460900144,0,0,1,3,0,1,0,4
67,avoidant,9,3.3431198660019334,0,2,1,1,1,2,1,1
68,avoidant,10,3.783103093649341,0,0,1,3,1,1,0,4
69,avoidant,8,3.5119440368186012,1,0,0,3,0,1,0,3
70,avoidant,8,3.6220726629284408,0,0,1,3,0,1,0,3
71,avoidant,8,3.489806808238196,0,0,1,3,0,1,0,3
72,avoidant,8,3.629966476656832,1,0,2,1,0,2,0,2
73,avoidant,8,3.610644979140616,0,0,1,3,0,1,0,3
74,avoidant,8,3.4752664714464045,0,0,1,3,0,1,0,3
75,avoidant,10,3.553875155274378,0,0,1,4,0,1,0,4
76,avoidant,9,3.608942040009347,0,0,1,3,0,1,0,4
77,avoidant,11,3.5821689310884692,0,0,3,2,0,2,0,4
78,avoidant,8,3.5052503296435984,0,0,1,3,0,1,0,3
79,avoidant,8,3.435690710369376,0,0,1,3,0,1,0,3
80,random,8,3.2122136435963675,0,0,0,4,0,0,0,4
81,random,8,3.0013661933185967,0,0,0,2,2,0,0,4
82,random,8,3.9789904165201295,0,0,0,1,3,0,1,3
83,random,9,2.7152483339544244,0,1,1,2,1,0,3,1
84,random,8,3.112419815926787,0,1,0,2,1,1,1,2
85,random,9,2.1530083456775277,0,0,0,4,1,0,0,4
86,random,8,3.726252273642571,0,1,0,0,3,1,0,3
87,random,9,2.668805195519116,0,0,0,4,1,0,0,4
88,random,9,3.9308865834007274,0,0,0,2,3,0,0,4
89,random,7,2.8224700844250306,0,0,0,3,1,0,0,3
90,random,6,2.613226745184861,0,0,0,3,0,0,0,3
91,random,8,3.5995339975892886,1,0,1,0,2,1,1,2
92,random,8,3.3997536100572017,0,1,0,2,1,0,1,3
93,random,7,2.7071735553240113,0,3,0,0,2,0,2,0
94,random,8,3.682743592733478,0,1,0,1,2,0,1,3
95,random,9,2.8484589423194184,0,1,2,1,2,0,2,1
96,random,7,3.0421643710299526,0,1,0,1,2,0,1,2
97,random,8,3.3239944351536717,0,1,0,3,0,1,1,2
98,random,9,3.7954465985876062,1,1,1,2,0,1,2,1
99,random,9,3.166795525886061,0,0,0,4,1,0,0,4
