parameter,parameter_value,base_personality,convergence_rate,mean_final_warmth,mean_total_payoff,mean_action_difference,belief_accuracy
prior_mean,0.3,secure,1.0,0.7041622976104305,4799.718401979097,0.04746293884178625,0.997819921416402
prior_mean,0.5,secure,1.0,0.7642686494040823,4886.944407842,0.04022764293200338,0.9983735777286725
prior_mean,0.7,secure,1.0,0.80750855134531,4943.609306183454,0.04388110720378709,0.9989355588975712
prior_mean,0.9,secure,1.0,0.839388672272386,4978.797843188735,0.04205682896045895,0.9989974908246079
lambda_loss,0.5,secure,1.0,0.8069773312835467,4943.130402665514,0.0438195021792511,0.9989408185021431
lambda_loss,1.0,secure,1.0,0.80750855134531,4943.609306183454,0.04388110720378709,0.9989355588975712
lambda_loss,2.0,secure,1.0,0.8068983913849863,4942.84336887749,0.044037138435480606,0.9989416000852972
lambda_loss,3.0,secure,1.0,0.8065245451001593,4942.282482701731,0.04412578751067618,0.9989453015336619
