personality,mean_reward,std_reward,min_reward,max_reward,coefficient_of_variation,composite_adaptiveness,sample_size
cooperative,70.57951318055555,7.1177794629380156,59.6338,92.872444,0.10084767012673222,0.9140563506429226,72
competitive,64.98942166666666,10.770275103268563,19.89034,81.51622,0.16572351048928755,0.0,72
adaptive,71.23352008333333,6.348362136563418,57.228996,92.81215,0.08912043275604963,0.9798306102857343,72
cautious,67.60389280555555,7.438000082153673,35.92193,80.76884,0.11002325122825521,0.5164052581705781,72
