total_reward,agent1_reward,agent2_reward,reward_difference,agent1_type,agent2_type,personality_pairing,alpha,beta
125.634888,63.1255,62.509388,0.6161120000000011,competitive,competitive,competitive-competitive,6.0,15.0
159.838965,79.82701,80.011955,0.18494499999999903,competitive,adaptive,competitive-adaptive,2.0,5.0
125.270031,62.513634,62.756397,0.2427629999999965,competitive,adaptive,competitive-adaptive,2.0,10.0
140.67398,70.32973,70.34425,0.01452000000000453,competitive,adaptive,competitive-adaptive,2.0,15.0
140.47371,70.41442,70.05929,0.3551300000000026,competitive,adaptive,competitive-adaptive,4.0,5.0
126.34214,63.175587,63.166553,0.009033999999999764,competitive,adaptive,competitive-adaptive,4.0,10.0
116.547833,56.108635,60.439198,4.330562999999998,competitive,adaptive,competitive-adaptive,4.0,15.0
150.79865999999998,75.46985,75.32881,0.14103999999998962,competitive,adaptive,competitive-adaptive,6.0,5.0
123.994583,62.056923,61.93766,0.11926299999999657,competitive,adaptive,competitive-adaptive,6.0,10.0
132.71038,65.54204,67.16834,1.6263000000000005,competitive,adaptive,competitive-adaptive,6.0,15.0
138.997434,69.51457,69.482864,0.03170599999999979,competitive,cautious,competitive-cautious,2.0,5.0
136.66737999999998,68.45365,68.21373,0.2399199999999979,competitive,cautious,competitive-cautious,2.0,10.0
128.46749,64.3459,64.12159,0.22431000000000267,competitive,cautious,competitive-cautious,2.0,15.0
130.20029,65.235,64.96529,0.26971000000000345,competitive,cautious,competitive-cautious,4.0,5.0
138.75547,69.23083,69.52464,0.2938100000000077,competitive,cautious,competitive-cautious,4.0,10.0
128.961995,64.55415,64.407845,0.14630500000001234,competitive,cautious,competitive-cautious,4.0,15.0
143.63215,71.68432,71.94783,0.2635099999999966,competitive,cautious,competitive-cautious,6.0,5.0
135.2471,67.50273,67.74437,0.24164000000000385,competitive,cautious,competitive-cautious,6.0,10.0
125.946325,62.999805,62.94652,0.05328500000000247,competitive,cautious,competitive-cautious,6.0,15.0
147.85278,74.27466,73.57812,0.6965399999999988,adaptive,cooperative,adaptive-cooperative,2.0,5.0
146.07196,73.01613,73.05583,0.039699999999996294,adaptive,cooperative,adaptive-cooperative,2.0,10.0
134.92902600000002,67.612656,67.31637,0.29628599999999494,adaptive,cooperative,adaptive-cooperative,2.0,15.0
165.04291999999998,82.49149,82.55143,0.05993999999999744,adaptive,cooperative,adaptive-cooperative,4.0,5.0
154.49317,77.32462,77.16855,0.1560699999999997,adaptive,cooperative,adaptive-cooperative,4.0,10.0
126.626949,63.315052,63.311897,0.003154999999999575,adaptive,cooperative,adaptive-cooperative,4.0,15.0
151.86020000000002,75.87755,75.98265,0.1051000000000073,adaptive,cooperative,adaptive-cooperative,6.0,5.0
138.709835,69.234245,69.47559,0.24134499999999548,adaptive,cooperative,adaptive-cooperative,6.0,10.0
128.106535,64.06352,64.043015,0.020504999999999995,adaptive,cooperative,adaptive-cooperative,6.0,15.0
147.106664,73.946304,73.16036,0.7859440000000006,adaptive,competitive,adaptive-competitive,2.0,5.0
137.57627000000002,68.89257,68.6837,0.20887000000000455,adaptive,competitive,adaptive-competitive,2.0,10.0
114.18213700000001,58.937733,55.244404,3.6933289999999985,adaptive,competitive,adaptive-competitive,2.0,15.0
